cc_num,spend_tier,transactions,total_spend,total_revenue
3568255211412877,Mid Spender,2027,111254.45,2002.58
4502539526809429801,Mid Spender,1504,110050.7,1980.91
4384910379661778,Mid Spender,1513,109311.83,1967.61
4239552724014407,Mid Spender,1542,109192.68,1965.47
6011542681743618,Mid Spender,2079,109147.8,1964.66
30235268718158,Mid Spender,1524,108938.77,1960.9
2286236465059468,Mid Spender,1513,108026.64,1944.48
376656886990758,Mid Spender,1537,107956.91,1943.22
4155021259183870,Mid Spender,2022,107615.15,1937.07
375082648741747,Mid Spender,2048,107501.79,1935.03
38295635583927,Mid Spender,2038,107064.7,1927.16
676173792455,Mid Spender,1538,107049.69,1926.89
6011399591920186,Mid Spender,2023,106041.46,1908.75
4247921790666,Mid Spender,1541,105801.55,1904.43
3512365128314616,Mid Spender,2005,105670.07,1902.06
4469777115158234880,Mid Spender,2049,105623.0,1901.21
5559857416065248,Mid Spender,1551,105566.71,1900.2
4683520018489354,Mid Spender,1530,105335.41,1896.04
4727244663135968,Mid Spender,1560,105218.38,1893.93
675990301623,Mid Spender,2027,105194.17,1893.5
3514897282719543,Mid Spender,1496,104524.46,1881.44
577588686219,Mid Spender,1494,104313.8,1877.65
3523843138706408,Mid Spender,2041,104220.0,1875.96
3540075240003197,Mid Spender,2028,104208.09,1875.75
30343344410970,Mid Spender,1516,104096.85,1873.74
374125201044065,Mid Spender,1534,103435.58,1861.84
2348245054386329,Mid Spender,1552,103421.3,1861.58
630425673344,Mid Spender,1547,103377.4,1860.79
4186530744674,Mid Spender,1572,103352.56,1860.35
4550599031376731,Mid Spender,1529,103224.88,1858.05
4488258847705225890,Mid Spender,1548,102780.29,1850.05
4220345354880,Mid Spender,1545,102719.48,1848.95
2233882705243596,Mid Spender,1571,102337.93,1842.08
3552581383553463,Mid Spender,1543,102104.15,1837.87
6011366578560244,Mid Spender,2044,101964.16,1835.35
5596347693144598,Mid Spender,1508,101959.25,1835.27
3501942333500073,Mid Spender,2052,101959.27,1835.27
4302475216404898,Mid Spender,1533,101892.72,1834.07
501802953619,Mid Spender,1552,101855.91,1833.41
5130484058948421,Mid Spender,1014,101368.28,1824.63
180065479077096,Mid Spender,1534,101272.2,1822.9
2269768987945882,Mid Spender,1567,101259.33,1822.67
2291163933867244,Mid Spender,1549,101221.39,1821.99
3586955669388457,Mid Spender,1023,101158.51,1820.85
583699482621,Mid Spender,1505,100972.57,1817.51
213154573301411,Mid Spender,1040,100703.27,1812.66
372382441451095,Mid Spender,1527,100683.42,1812.3
30082025922891,Mid Spender,1541,100530.82,1809.55
3558652751678952,Mid Spender,1515,100462.34,1808.32
4292902571056973207,Mid Spender,1504,100392.75,1807.07
213161231269724,Mid Spender,1540,100244.36,1804.4
3549202406645667,Mid Spender,1516,100153.28,1802.76
30290551782700,Mid Spender,1522,100073.92,1801.33
4060579726528237,Mid Spender,1534,100072.07,1801.3
378278619832195,Mid Spender,1546,100020.39,1800.37
6011999606625827,Mid Spender,1508,99811.4,1796.61
345832460465610,Mid Spender,1524,99538.03,1791.68
3598014571045296,Mid Spender,986,99530.0,1791.54
4393520897625,Mid Spender,1026,99452.56,1790.15
571844099986,Mid Spender,1542,99329.33,1787.93
4260128500325,Mid Spender,1448,99107.7,1783.94
4365382885912355,Mid Spender,1027,98941.61,1780.95
3506040590383211,Mid Spender,1010,98492.28,1772.86
4538566639857,Mid Spender,1557,98417.75,1771.52
213173753804333,Mid Spender,1545,98350.27,1770.3
2713913904780408,Mid Spender,1589,98345.9,1770.23
4715741951931168360,Mid Spender,1576,98153.43,1766.76
60422928733,Mid Spender,1519,98140.02,1766.52
343464013864032,Mid Spender,1503,98131.43,1766.37
30033162392091,Mid Spender,1030,98029.4,1764.53
4958589671582726883,Mid Spender,1476,97973.69,1763.53
6011552879910390,Mid Spender,1040,97913.66,1762.45
3525668150756629,Mid Spender,1022,97899.88,1762.2
3566875419572867,Mid Spender,1009,97794.8,1760.31
4355790796238264643,Mid Spender,1494,97668.0,1758.02
4169388510116,Mid Spender,1535,97643.75,1757.59
343668971234893,Mid Spender,1519,97626.16,1757.27
30561214688470,Mid Spender,2098,97255.06,1750.59
30404291151692,Mid Spender,1052,97197.36,1749.55
6547670341037171,Mid Spender,1522,97150.02,1748.7
344342339068828,Mid Spender,1532,97053.98,1746.97
2305336922781618,Mid Spender,1553,96926.56,1744.68
30328384440870,Mid Spender,1538,96858.79,1743.46
4689147265057948423,Mid Spender,1530,96782.72,1742.09
3502377050801561,Mid Spender,1532,96640.38,1739.53
2720830304681674,Mid Spender,1032,96409.33,1735.37
3560697798177746,Mid Spender,1543,96238.11,1732.29
213161293389774,Mid Spender,1471,96060.64,1729.09
6011679934075347,Mid Spender,1516,96054.2,1728.98
501899453424,Mid Spender,1512,95984.92,1727.73
213126662687660,Mid Spender,1523,95964.21,1727.36
213155997615567,Mid Spender,1010,95880.6,1725.85
3519607465576254,Mid Spender,1535,95528.34,1719.51
5501083170975659,Mid Spender,1541,95338.13,1716.09
6011934240159560,Mid Spender,1004,95250.44,1714.51
30153452207526,Mid Spender,1551,95241.31,1714.34
4474324669797121,Mid Spender,1521,95140.67,1712.53
4981132848794,Mid Spender,1525,95104.77,1711.89
6595970453799027,Mid Spender,1548,95004.54,1710.08
343746486082492,Mid Spender,1540,94869.21,1707.65
213102873001603,Mid Spender,1512,94351.64,1698.33
2296006538441789,Mid Spender,2023,94236.93,1696.26
341546199006537,Mid Spender,1553,94182.61,1695.29
3559723917628303,Mid Spender,1010,94141.57,1694.55
568279015842,Mid Spender,1061,94137.61,1694.48
5580563567307107,Mid Spender,1040,94072.9,1693.31
4208110975550360171,Mid Spender,1026,94064.3,1693.16
180072527505094,Mid Spender,1509,94059.02,1693.06
347073228412010,Mid Spender,1043,94048.33,1692.87
3533800906065217,Mid Spender,1499,93925.0,1690.65
4102003771126577611,Mid Spender,1515,93750.85,1687.52
36721445180895,Mid Spender,1520,93405.06,1681.29
6511349151405438,Mid Spender,1541,93257.83,1678.64
213163860545705,Mid Spender,1018,92788.9,1670.2
4800395067176717,Mid Spender,1532,92771.77,1669.89
4488941175228467,Mid Spender,1031,92748.65,1669.48
373043435942726,Mid Spender,1040,92672.52,1668.11
4710826438164847414,Mid Spender,1533,92519.62,1665.35
6573561108825071,Mid Spender,1517,92482.73,1664.69
372246459334925,Mid Spender,1558,92035.24,1656.63
4210078554961359092,Mid Spender,1541,91968.38,1655.43
3547574373318979,Mid Spender,1545,91916.21,1654.49
3547560454237873,Mid Spender,1539,91849.35,1653.29
639046421587,Mid Spender,1003,91754.31,1651.58
4066595222529,Mid Spender,1519,91524.03,1647.43
3506042666828517,Mid Spender,1525,91487.85,1646.78
4128027264554082,Mid Spender,1523,91481.96,1646.68
639030014711,Mid Spender,1025,91313.93,1643.65
30560609640617,Mid Spender,1567,91263.85,1642.75
213199865312311,Mid Spender,1504,91220.28,1641.97
3543299015720986,Mid Spender,997,91213.39,1641.84
4342532437704183,Mid Spender,1532,90870.54,1635.67
675909898057,Mid Spender,1006,90860.56,1635.49
5104807169438134,Mid Spender,1025,90738.03,1633.28
503848303379,Mid Spender,1537,90730.71,1633.15
213195754007681,Mid Spender,1515,90649.15,1631.68
374656033243756,Mid Spender,1527,90599.22,1630.79
30263540414123,Mid Spender,1504,90426.53,1627.68
30150717898388,Mid Spender,1523,90408.59,1627.35
4477156602511939689,Mid Spender,1037,90215.57,1623.88
4570636521433188,Mid Spender,1025,90164.46,1622.96
4119762878330989,Mid Spender,1519,90077.57,1621.4
4890424426862856940,Mid Spender,1488,89990.03,1619.82
5388659976630693,Mid Spender,1543,89917.98,1618.52
30518206766474,Mid Spender,1505,89810.88,1616.6
4783226709001,Mid Spender,1546,89714.31,1614.86
4585132874641,Mid Spender,1523,89495.99,1610.93
213175487106448,Mid Spender,1540,89469.36,1610.45
213174467670432,Mid Spender,1513,89420.51,1609.57
213125815021702,Mid Spender,1545,89166.08,1604.99
3517527805128735,Mid Spender,1515,89129.95,1604.34
375848982312810,Mid Spender,1514,89046.59,1602.84
4379260813815979609,Mid Spender,1557,88880.64,1599.85
4067137330196900,Mid Spender,1526,88740.6,1597.33
4482427013979020,Mid Spender,1529,88620.89,1595.18
4229733778084049,Mid Spender,1557,88521.18,1593.38
3538520143479972,Mid Spender,1542,88514.24,1593.26
213124978348176,Mid Spender,1497,88489.1,1592.8
4292743669224718067,Mid Spender,1565,88388.26,1590.99
3591919803438423,Mid Spender,1526,88351.49,1590.33
213161869125933,Mid Spender,1549,88296.48,1589.34
3504178999463051,Mid Spender,1537,88270.81,1588.87
4989847570577635369,Mid Spender,1007,88195.62,1587.52
3585740823295298,Mid Spender,1544,88157.63,1586.84
180064817343047,Mid Spender,1528,88153.29,1586.76
377654590313960,Mid Spender,1507,88003.28,1584.06
675945690716,Mid Spender,1555,87982.55,1583.69
180084576295055,Mid Spender,1497,87516.26,1575.29
6506982560413523,Mid Spender,1047,86959.61,1565.27
4635330563105903,Mid Spender,1013,86639.44,1559.51
4423489490781412,Mid Spender,1527,86401.14,1555.22
4707867759656333,Mid Spender,1511,86082.72,1549.49
4497451418073897078,Mid Spender,1009,85966.46,1547.4
5152054598359927,Mid Spender,1515,85912.99,1546.43
371009169330125,Mid Spender,1508,85734.93,1543.23
4277232699798846,Mid Spender,1485,85677.27,1542.19
3528407217576457,Mid Spender,992,85483.67,1538.71
676298633337,Mid Spender,1517,85335.99,1536.05
4378993458389626,Mid Spender,1517,85083.64,1531.51
4025612008285111,Mid Spender,1502,84775.55,1525.96
30092964733035,Mid Spender,1052,84424.76,1519.65
36153880429415,Mid Spender,1050,84085.7,1513.54
4810789809665942990,Mid Spender,1531,83813.1,1508.64
30103132002433,Mid Spender,1024,83649.4,1505.69
6544734391390261,Mid Spender,1526,83358.48,1500.45
4048508450704760,Mid Spender,1540,83194.65,1497.5
60416207185,Mid Spender,1509,83143.74,1496.59
4607072969078276,Mid Spender,1519,83122.77,1496.21
3575540972310993,Mid Spender,1526,83023.38,1494.42
4761403817546679245,Mid Spender,1553,83004.06,1494.07
4742883543039288059,Mid Spender,1520,82676.95,1488.19
6011492816282597,Mid Spender,1551,82347.89,1482.26
4294040533480516,Mid Spender,1543,82337.53,1482.08
3585052663373890,Mid Spender,1021,82117.88,1478.12
6592861994408652,Mid Spender,1500,82075.3,1477.36
30266994494236,Mid Spender,1507,81863.49,1473.54
3506592072985012,Mid Spender,1547,81234.47,1462.22
30143535920989,Mid Spender,1503,80584.43,1450.52
38947654498698,Mid Spender,1493,80109.17,1441.97
3529597810116815,Mid Spender,1506,79956.0,1439.21
2222001896600109,Mid Spender,1524,79679.49,1434.23
378904938837132,Mid Spender,1535,79674.02,1434.13
30364087349027,Mid Spender,1511,79299.93,1427.4
3592931352252641,Mid Spender,998,78567.16,1414.21
38057513087029,Mid Spender,1501,77442.26,1393.96
3518758680062249,Mid Spender,1488,76738.08,1381.29
4973530368125489546,Mid Spender,1030,76137.15,1370.47
3554849923339851,Mid Spender,1023,73744.5,1327.4
213191402330021,Mid Spender,1571,73737.51,1327.28
4306586894261180,Mid Spender,1010,73400.12,1321.2
4505383113689,Mid Spender,1008,72668.28,1308.03
3565196229855512,Mid Spender,1016,72508.12,1305.15
213153151785052,Mid Spender,1544,72392.82,1303.07
30427035050508,Mid Spender,1013,71705.57,1290.7
6011252220172077,Mid Spender,994,71643.54,1289.58
4255397449664185994,Mid Spender,1025,70981.44,1277.67
4629451965224809,Mid Spender,1515,70598.99,1270.78
379897244598068,Mid Spender,1041,70389.31,1267.01
4070511711385545,Mid Spender,978,69950.72,1259.11
30546453310167,Mid Spender,1000,69899.01,1258.18
4306630852918,Mid Spender,1022,69751.95,1255.54
676245600876,Mid Spender,1024,69704.71,1254.68
348379466427142,Mid Spender,1018,69498.74,1250.98
3567527758368741,Mid Spender,1006,69335.38,1248.04
4045036286570100739,Mid Spender,1000,69114.92,1244.07
4451438912406400,Mid Spender,987,69059.12,1243.06
377895991033232,Mid Spender,1022,68975.22,1241.55
4658117080136,Mid Spender,996,68943.42,1240.98
6596735789587928,Mid Spender,1022,68864.07,1239.55
377550167323848,Mid Spender,1036,68763.18,1237.74
4969856774088583,Mid Spender,1018,68644.34,1235.6
502049568400,Mid Spender,1027,68574.01,1234.33
4788103653396,Mid Spender,994,68484.64,1232.72
180046617132290,Mid Spender,1024,68061.34,1225.1
